id,month,bank_name,no_of_transactions,amt_of_transactions,active_users
0,01-03-2022,AU Small Finance Bank,382574,1010892.34,38629
1,01-03-2022,Abhyudaya Co-operative Bank,8,3.12,2
2,01-03-2022,Ahmednagar Merchants Co-operative Bank,21917,35074.03,66
3,01-03-2022,Airtel Payments Bank,21571,1064.14,7431
4,01-03-2022,Andhra Pradesh Grameen Vikas Bank,1050,658.78,747
5,01-03-2022,Australia and New Zealand Banking Group,28979,936089.22,48
6,01-03-2022,Axis Bank,6414594,4514540.32,3101982
7,01-03-2022,BNP Paribas,453937,3642886.96,393
8,01-03-2022,Bandhan Bank,477223,559861.77,77553
9,01-03-2022,"Bank of America, N.A.",41740,3136328.26,503
10,01-03-2022,Bank of Baroda,3950731,7367485.25,506035
11,01-03-2022,Bank of India,2785978,5790364.59,497539
12,01-03-2022,Bank of Maharashtra,8087014,2379839.11,237587
13,01-03-2022,Barclays Bank PLC,81949,1106025.06,2276
14,01-03-2022,Bassein Catholic Co-operative Bank,23425,21879.16,3475
15,01-03-2022,Bharat Co-operative Bank,45828,127386.5,3103
16,01-03-2022,CSB Bank,144548,65548.33,74548
17,01-03-2022,Canara Bank,3966259,5128932.6,878201
18,01-03-2022,Capital Small Finance Bank,11595,19946.49,580
19,01-03-2022,Central Bank of India,13903645,2789102.96,283990
20,01-03-2022,Citi Bank,1019683,923805.61,552405
21,01-03-2022,City Union Bank,834740,798736.41,127632
22,01-03-2022,Co-operative Rabobank U.A.,6779,19895.11,39
23,01-03-2022,Credit Agricole Corporate and Investment Bank,35678,106267.55,83
24,01-03-2022,DBS Bank India,518115,4902842.29,82212
25,01-03-2022,DCB Bank,190296,275970.57,20953
26,01-03-2022,Deutsche Bank AG,62475,38214.71,23609
27,01-03-2022,Dhanlaxmi Bank,90080,83273.08,18068
28,01-03-2022,ESAF Small Finance Bank,95741,23583.78,3529
29,01-03-2022,Emirates NBD Bank,197,316.1,76
30,01-03-2022,Equitas Small Finance Bank,164109,91239.42,128643
31,01-03-2022,Federal Bank,2539184,1626016.82,263433
32,01-03-2022,Fincare Small Finance Bank,63672,41255.47,5758
33,01-03-2022,Fino Payments Bank,566,52.46,358
34,01-03-2022,GP Parsik Janata Co-operative Bank,44988,61196.27,5475
35,01-03-2022,HDFC Bank,56450919,47295810.4,21428089
36,01-03-2022,HSBC,7047285,49450413.41,116860
37,01-03-2022,ICICI Bank,91119226,455101212.6,4557790
38,01-03-2022,IDBI Bank,3238636,8291562.88,616330
39,01-03-2022,IDFC First Bank,3745692,6822739.05,201043
40,01-03-2022,Indian Bank,3556006,2619770.67,1051218
41,01-03-2022,Indian Overseas Bank,3429954,2656851.09,385608
42,01-03-2022,IndusInd Bank,3980173,7866385.73,496858
43,01-03-2022,Industrial Bank of Korea,1706,8277.52,94
44,01-03-2022,Industrial and Commercial Bank of China,474,6138.32,22
45,01-03-2022,Jana Small Finance Bank,22236,14385.45,7029
46,01-03-2022,Janata Co-operative Bank Pune,78044,70361.18,7116
47,01-03-2022,Karnataka Bank,331037,812452.77,33172
48,01-03-2022,Kookmin Bank,303,477.27,58
49,01-03-2022,Kotak Mahindra Bank,11038469,24734624.75,1841225
50,01-03-2022,Mahesh Co-operative Bank Pune,9155,10738.04,3964
51,01-03-2022,NKGSB Co-operative Bank,33998,23243.95,3281
52,01-03-2022,NSDL Payments Bank,37242,3140798.78,25
53,01-03-2022,Nainital Bank,1123,1287.32,253
54,01-03-2022,New India Co-operative Bank,7075,3293.37,2015
55,01-03-2022,North East Small Finance Bank,34473,42088.81,2883
56,01-03-2022,Paytm Payments Bank,75060,44231.59,1979
57,01-03-2022,Punjab and Sind Bank,49872,161819.4,2765
58,01-03-2022,Punjab National Bank,6150637,16861909.12,831047
59,01-03-2022,RBL Bank,536914,1410857.25,96813
60,01-03-2022,SBM Bank India,14355,5047.26,12719
61,01-03-2022,SVC Co-operative Bank,129718,152581.71,32451
62,01-03-2022,Saraswat Co-operative Bank,402623,787010.26,26714
63,01-03-2022,Shivalik Small Finance Bank,19047,23024.59,1237
64,01-03-2022,Societe Generale,3626,113589.67,13
65,01-03-2022,South Indian Bank,621092,659346.79,74815
66,01-03-2022,State Bank of India,140802238,174320790.6,34426825
67,01-03-2022,Suryoday Small Finance Bank,16422,22020.2,3817
68,01-03-2022,TJSB Co-operative Bank,125517,137843.18,14722
69,01-03-2022,Tamil Nadu State Co-operative Bank,17946,83226,9018
70,01-03-2022,Tamilnad Mercantile Bank,722838,834928.89,59526
71,01-03-2022,Thane Bharat Co-operative Bank,22891,19360.91,2868
72,01-03-2022,Ahmedabad District Co-operative Bank,1192,2831.29,88
73,01-03-2022,Akola Janata Commercial Co-operative Bank,2551,4016.03,626
74,01-03-2022,Jammu and Kashmir Bank,555871,662455.29,109872
75,01-03-2022,Kalupur Commercial Co-operative Bank,73886,268728.04,4466
76,01-03-2022,Kalyan Janata Co-operative Bank,7424,7075.64,944
77,01-03-2022,Karur Vysya Bank,1132260,1873030.65,1049443
78,01-03-2022,Surat Peoples Co-operative Bank,9761,34329.41,811
79,01-03-2022,UCO Bank,386250,499583.72,82288
80,01-03-2022,Ujjivan Small Finance Bank,71647,120119.57,8945
81,01-03-2022,Union Bank of India,2644316,4501858.69,445613
82,01-03-2022,Utkarsh Small Finance Bank,4671,4497.08,3038
83,01-03-2022,Woori Bank,3660,20440.73,596
84,01-03-2022,Yes Bank,6264324,23763767.75,393309
85,01-04-2022,AU Small Finance Bank,393184,839161.19,36030
86,01-04-2022,Abhyudaya Co-operative Bank,4,0.87,1
87,01-04-2022,Ahmednagar Merchants Co-operative Bank,19637,32081.55,62
88,01-04-2022,Airtel Payments Bank,22554,1127.95,7815
89,01-04-2022,Andhra Pradesh Grameen Vikas Bank,935,739.19,894
90,01-04-2022,Australia and New Zealand Banking Group,23640,846520.35,48
91,01-04-2022,Axis Bank,5862006,3669804.88,3076307
92,01-04-2022,BNP Paribas,414011,3816823.21,390
93,01-04-2022,Bandhan Bank,452902,511834.8,79936
94,01-04-2022,"Bank of America, N.A.",33239,2127316.57,503
95,01-04-2022,Bank of Baroda,3385023,6248745.63,515121
96,01-04-2022,Bank of India,2629921,4843096.78,502921
97,01-04-2022,Bank of Maharashtra,7570660,2217199.02,240688
98,01-04-2022,Barclays Bank PLC,88564,651154.81,2287
99,01-04-2022,Bassein Catholic Co-operative Bank,19011,19455.39,3450
100,01-04-2022,Bharat Co-operative Bank,38810,99237.17,3029
101,01-04-2022,CSB Bank,162751,73318.52,74849
102,01-04-2022,Canara Bank,3269533,3858333.54,876224
103,01-04-2022,Capital Small Finance Bank,10113,18028.31,598
104,01-04-2022,Central Bank of India,13260167,2477379.49,249129
105,01-04-2022,Citi Bank,951878,767443.96,547684
106,01-04-2022,City Union Bank,787006,697343.97,108591
107,01-04-2022,Co-operative Rabobank U.A.,6042,17216.64,29
108,01-04-2022,Credit Agricole Corporate and Investment Bank,32339,104165.43,84
109,01-04-2022,DBS Bank India,475260,5348490.02,82163
110,01-04-2022,DCB Bank,165048,238648.9,21107
111,01-04-2022,Deutsche Bank AG,60391,32526.28,24255
112,01-04-2022,Dhanlaxmi Bank,80682,68084.06,18331
113,01-04-2022,ESAF Small Finance Bank,96296,23030.27,3708
114,01-04-2022,Emirates NBD Bank,184,259.48,38
115,01-04-2022,Equitas Small Finance Bank,140738,79260.66,128473
116,01-04-2022,Federal Bank,2259695,1292052.18,258354
117,01-04-2022,Fincare Small Finance Bank,22300,26433.02,6157
118,01-04-2022,Fino Payments Bank,484,36.6,303
119,01-04-2022,GP Parsik Janata Co-operative Bank,41228,52608.09,6098
120,01-04-2022,HDFC Bank,51213396,40565019.32,21455770
121,01-04-2022,HSBC,9216531,35951442.77,120321
122,01-04-2022,ICICI Bank,89252514,374574446.4,4604789
123,01-04-2022,IDBI Bank,2680208,6044720.23,619719
124,01-04-2022,IDFC First Bank,3039969,5806237.89,209036
125,01-04-2022,Indian Bank,3278274,2241903.73,1106579
126,01-04-2022,Indian Overseas Bank,3128726,2280003.17,388311
127,01-04-2022,IndusInd Bank,2910096,5595870.92,466734
128,01-04-2022,Industrial Bank of Korea,1609,8596.72,96
129,01-04-2022,Industrial and Commercial Bank of China,417,6193.2,23
130,01-04-2022,Jana Small Finance Bank,21857,12831.61,6831
131,01-04-2022,Janata Co-operative Bank Pune,72058,65033.02,7232
132,01-04-2022,Karnataka Bank,339472,476566.83,32911
133,01-04-2022,Kookmin Bank,288,525.52,73
134,01-04-2022,Kotak Mahindra Bank,11604817,26278548,1836758
135,01-04-2022,Mahesh Co-operative Bank Pune,6339,8362.21,4204
136,01-04-2022,NKGSB Co-operative Bank,29279,19810.94,3286
137,01-04-2022,NSDL Payments Bank,24859,2538596.52,27
138,01-04-2022,Nainital Bank,6267,8422.36,911
139,01-04-2022,New India Co-operative Bank,6312,3154.14,2029
140,01-04-2022,North East Small Finance Bank,32279,31407.37,3108
141,01-04-2022,Paytm Payments Bank,66551,17903.68,1764
142,01-04-2022,Punjab and Sind Bank,5086,21812.82,2765
143,01-04-2022,Punjab National Bank,5494814,14903192.43,852226
144,01-04-2022,RBL Bank,435697,1120039.45,100444
145,01-04-2022,SBM Bank India,4247,2386.12,7198
146,01-04-2022,SVC Co-operative Bank,119377,137056.63,31898
147,01-04-2022,Saraswat Co-operative Bank,341832,618431.54,23424
148,01-04-2022,Shivalik Small Finance Bank,16532,21334.42,1047
149,01-04-2022,Societe Generale,1763,40713.21,14
150,01-04-2022,South Indian Bank,575765,614227.77,75230
151,01-04-2022,State Bank of India,129130870,132746844.4,34000164
152,01-04-2022,Suryoday Small Finance Bank,15951,14490.47,4311
153,01-04-2022,TJSB Co-operative Bank,108538,113021.94,14831
154,01-04-2022,Tamil Nadu State Co-operative Bank,25428,105779.24,10377
155,01-04-2022,Tamilnad Mercantile Bank,659744,733458,58981
156,01-04-2022,Thane Bharat Co-operative Bank,19581,16889.45,2890
157,01-04-2022,Ahmedabad District Co-operative Bank,1132,2695.59,77
158,01-04-2022,Akola Janata Commercial Co-operative Bank,1745,2928.96,746
159,01-04-2022,Jammu and Kashmir Bank,537226,579832.29,117678
160,01-04-2022,Kalupur Commercial Co-operative Bank,60482,214224.79,4500
161,01-04-2022,Kalyan Janata Co-operative Bank,6477,6793.17,918
162,01-04-2022,Karur Vysya Bank,1043730,1506021.35,186665
163,01-04-2022,Surat Peoples Co-operative Bank,8641,28952.34,901
164,01-04-2022,UCO Bank,340301,425316.33,82546
165,01-04-2022,Ujjivan Small Finance Bank,58355,103428.82,8963
166,01-04-2022,Union Bank of India,2937757,4633267.81,459507
167,01-04-2022,Utkarsh Small Finance Bank,5020,3592.36,3339
168,01-04-2022,Woori Bank,3280,19702,573
